	Expression	p-value	AnnotatedEndExpression
NM_001099460	0.0	1.0	0.0
NM_001099457	0.0	1.0	0.0
NM_001099462	0.0	1.0	0.0
NM_001099459	0.0	1.0	0.0
NM_001099462_2	0.0	1.0	0.0
NM_001013063	0.0	1.0	0.0
NM_001161691	0.0	1.0	0.0
NM_001106217	123.0	0.0	123.0
NM_013073	7.0	0.004870323608489491	7.0
NM_001128191	1.0	1.0	1.0
NM_001134543	23.0	0.0	23.0
NM_001004217	4.0	1.0	4.0
NM_001108457	0.0	1.0	0.0
NM_001107469	0.0	1.0	0.0
NM_001012062	12.0	3.5732528047560663E-12	12.0
NM_001108458	0.0	1.0	0.0
NM_001108901	0.0	1.0	0.0
NM_030843	0.0	1.0	0.0
NM_178346	0.0	1.0	0.0
NM_178345	0.0	1.0	0.0
NM_001108902	0.0	1.0	0.0
NM_017011	0.0	1.0	0.0
NM_001114330	0.0	1.0	0.0
NM_001107470	4.0	1.0	4.0
NM_001007690	0.0	1.0	0.0
NM_001276762	0.0	1.0	0.0
NM_013070	2.0	1.0	2.0
NM_001025638	0.0	1.0	0.0
NM_001126092	18.0	0.0	18.0
NM_012760	0.0	1.0	0.0
NM_001271310	0.0	1.0	0.0
NM_001014157	4.0	1.0	4.0
NM_214458	0.0	1.0	0.0
NM_001004218	13.0	3.941291737419306E-14	13.0
NM_031350	5.0	0.99975798282961	5.0
NM_001115028	0.0	1.0	0.0
NM_001134425	2.0	1.0	2.0
NM_024137	2.0	1.0	2.0
NM_001025640	17.0	0.0	17.0
NM_001197092	0.0	1.0	0.0
NM_012799	0.0	1.0	0.0
NM_001001355	0.0	1.0	0.0
NR_046238	0.0	1.0	0.0
NM_001025002	165.0	0.0	165.0
NR_046238_2	0.0	1.0	0.0
NM_053698	19.0	0.0	19.0
NM_001135859	0.0	1.0	0.0
NM_001107514	12.0	3.5732528047560663E-12	12.0
NM_001099647	9.0	1.528281231233386E-6	9.0
NM_001106264	7.0	0.004870323608489491	7.0
NM_001037789	6.0	0.19829193819317759	6.0
NM_001107515	0.0	1.0	0.0
NM_001106265	6.0	0.19829193819317759	6.0
NM_001106269	0.0	1.0	0.0
NM_053783	4.0	1.0	4.0
NM_001003404	0.0	1.0	0.0
NM_001107521	14.0	4.440892098500626E-16	14.0
NM_001107522	107.0	0.0	107.0
NM_001034147	0.0	1.0	0.0
NM_001277694	0.0	1.0	0.0
NM_001106270	55.0	0.0	55.0
NM_001198638	56.0	0.0	56.0
NM_001047852	17.0	0.0	17.0
NM_001290110	0.0	1.0	0.0
NM_080894	0.0	1.0	0.0
NM_001011934	24.0	0.0	24.0
NM_001191088	0.0	1.0	0.0
NM_001029902	4.0	1.0	4.0
NM_001002277	5.0	0.99975798282961	5.0
NM_001170575	11.0	2.9720592653603717E-10	11.0
NM_001172116	0.0	1.0	0.0
NM_001109135	0.0	1.0	0.0
NM_001195606	0.0	1.0	0.0
NM_001001801	0.0	1.0	0.0
NM_001009470	0.0	1.0	0.0
NM_017134	18.0	0.0	18.0
NM_001277054	8.0	9.236411133106692E-5	8.0
NM_019370	0.0	1.0	0.0
NM_053535	0.0	1.0	0.0
NM_022266	1.0	1.0	1.0
NM_021869	2.0	1.0	2.0
NM_175602	0.0	1.0	0.0
NM_175600	0.0	1.0	0.0
NM_175599	0.0	1.0	0.0
NM_175599_2	0.0	1.0	0.0
NM_175587	0.0	1.0	0.0
NM_175588	0.0	1.0	0.0
NM_175590	0.0	1.0	0.0
NM_175591	0.0	1.0	0.0
NM_001009975	0.0	1.0	0.0
NM_175586	0.0	1.0	0.0
NM_175585	0.0	1.0	0.0
NM_175584	0.0	1.0	0.0
NM_001009650	0.0	1.0	0.0
NM_175583	0.0	1.0	0.0
NM_001009532	0.0	1.0	0.0
NM_001008512	0.0	1.0	0.0
NM_134328	5.0	0.99975798282961	5.0
NM_001025623	16.0	0.0	16.0
NM_001109136	0.0	1.0	0.0
NR_110684	0.0	1.0	0.0
NM_031709	30.0	0.0	30.0
NM_001271317	0.0	1.0	0.0
NM_175601	0.0	1.0	0.0
NM_001032397	0.0	1.0	0.0
NM_001127201	16.0	0.0	16.0
NM_001107451	0.0	1.0	0.0
NM_019232	27.0	0.0	27.0
NM_001193568	27.0	0.0	27.0
NM_001193569	27.0	0.0	27.0
NM_001108459	0.0	1.0	0.0
NM_021666	0.0	1.0	0.0
NM_001106204	1.0	1.0	1.0
NM_001044295	17.0	0.0	17.0
NM_001108460	1.0	1.0	1.0
NM_130417	0.0	1.0	0.0
NM_001276433	3.0	1.0	3.0
NM_001100825	3.0	1.0	3.0
NM_198051	0.0	1.0	0.0
NM_001246319	0.0	1.0	0.0
NM_001100990	0.0	1.0	0.0
NM_001012060	24.0	0.0	24.0
NM_001007734	29.0	0.0	29.0
NM_001144859	14.0	4.440892098500626E-16	14.0
NM_001108879	7.0	0.004870323608489491	7.0
NM_001109333	0.0	1.0	0.0
NM_198766	4.0	1.0	4.0
NM_130428	32.0	0.0	32.0
NM_001107452	6.0	0.19829193819317759	6.0
NM_001024285	0.0	1.0	0.0
NM_001024964	2.0	1.0	2.0
NM_012654	0.0	1.0	0.0
